,Name,Body Style,Engine,Drive Type,Transmission,Ext. Color,Int. Color,Mileage (mi),Price ($)
194,2021 Toyota Tacoma TRD Off-Road w/ TRD Premium Off-Road Pkg 4WD,4D Access Cab,6 Cyl - 3.5 L,4WD,6-Speed Automatic,Silver,,"5,766","45,488"
195,2021 Toyota Tacoma TRD Off-Road 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed,White,Gray,"36,003","45,588"
196,2021 Toyota Tacoma TRD Sport 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed Automatic,Gray,,"12,548","45,888"
197,2020 Toyota Tacoma TRD Sport Double Cab 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed,Black,,"37,959","45,988"
198,2022 Toyota Highlander LE,4D Sport Utility,6 Cyl - 3.5 L,FWD,8-Speed Automatic,Black,,"3,835","45,995"
199,2021 Toyota Tacoma TRD Off-Road 4WD,4D Double Cab,6 Cyl - 3.5 L,4WD,6-Speed,White,Gray,"4,780","46,388"
200,2020 Toyota Avalon TRD,4D Sedan,6 Cyl - 3.5 L,FWD,8-Speed Automatic,White,Black,"5,544","46,488"
201,2019 Toyota Tacoma TRD Sport Long Bed Double Cab RWD,4D Double Cab,6 Cyl - 3.5 L,RWD,6-Speed Automatic,Gray,,"9,076","46,995"
202,2021 Toyota Tundra SR5 RWD,4D CrewMax,8 Cyl - 5.7 L,RWD,6-Speed Automatic Electronic with Overdrive,Red,Black,"17,195","47,488"
203,2021 Toyota Highlander XLE,4D Sport Utility,6 Cyl - 3.5 L,AWD,8-Speed Automatic,White,Black,"37,400","47,995"
204,2021 Toyota Highlander XSE,4D Sport Utility,6 Cyl - 3.5 L,FWD,8-Speed Automatic,Silver,,"7,607","48,488"
205,2019 Toyota Tundra Limited 4WD 4WD,4D CrewMax,8 Cyl - 5.7 L,4WD,6-Speed Automatic Electronic,Silver,Black,"43,427","48,488"
206,2021 Toyota Tacoma TRD Sport RWD,4D Double Cab,6 Cyl - 3.5 L,RWD,6-Speed Automatic,Green,Cement,"8,008","48,488"
207,2021 Toyota Venza XLE,4D Sport Utility,4 Cyl - 2.5 L,AWD,Continuously Variable (ECVT),Black,Black,"4,284","48,588"
208,2022 Toyota Avalon Limited,4D Sedan,6 Cyl - 3.5 L,FWD,8-Speed Automatic,Silver,,"3,406","49,995"
209,2019 Toyota Tundra Limited RWD,4D CrewMax,8 Cyl - 5.7 L,RWD,6-Speed Automatic Electronic with Overdrive,Red,,"28,958","50,995"
210,2019 Toyota Highlander Hybrid Limited,4D Sport Utility,6 Cyl - 3.5 L,AWD,eCVT,Silver,,"8,034","50,995"
